Policy Number,Policy Status,Age,Gender,Home Language,Family Status,Gross Household Income,Gross Income,Monthly Premium Original,Monthly Premium,Dfference between Household and Personal Income,Salary Day,Debit order day,Education,Occupation,Province,Postal Code,Policy Affordability %,Policy Affordability % Band,Response Outcome,Take Up Outcome,Contract Status,Collection Count
16519,Installed,37,Male,Setswana,Single,9500,9500,250,153,0,31,29,Matric,Control Room Operator,North West,258,0.016,1.5 - 2.5%,1,1,1,3
16520,Installed,37,Male,Afrikaans,Divorced,22000,22000,238,238,0,28,25,Matric,Onsetter - Cageman,Northern Cape,0,0.011,0 - 1.5%,1,1,1,8
16521,Cancelled,50,Male,English,Single,13000,13000,0,0,0,27,27,No Matric,Process Worker,Gauteng,2001,0.012,0 - 1.5%,1,0,0,0
16522,Installed,42,Male,Zulu,Married,50000,27000,484,484,23000,28,28,Postgraduate,Managing Director - Admin Only,Gauteng,0,0.01,0 - 1.5%,1,1,1,7
16523,Cancelled,34,Male,0,0,30000,30000,0,0,0,31,1,Matric,Finance Analyst,Western Cape,7590,0.026,2.5 - 5%,1,0,0,0
16524,Installed,54,Male,English,Divorced,50000,50000,992,992,0,15,1,Postgraduate,Management Consultant,Eastern Cape,0,0.02,1.5 - 2.5%,1,1,1,8
16525,Installed,49,Male,English,Married,20000,16000,360,371,4000,26,28,Diploma,School Teacher,Gauteng,0,0.019,1.5 - 2.5%,1,1,1,6
16526,Cancelled,43,Male,Sotho,Married,6220,3420,0,0,2800,25,25,No Matric,Health Care Worker,Free State,9745,0.042,2.5 - 5%,1,0,0,0
16527,Cancelled,47,Male,Afrikaans,Married,60000,50000,0,0,10000,31,1,Degree,Operations Manager - Admin only,North West,0,0.059,5% +,1,0,0,0
16528,Cancelled,26,Male,English,Married,5200,5200,0,0,0,3,3,Matric,Credit Control Clerk,Gauteng,0,0.03,2.5 - 5%,1,0,0,0
16529,Installed,56,Female,Afrikaans,Divorced,10500,10500,467,467,0,1,2,Matric,School Teacher,Limpopo,0,0.045,2.5 - 5%,1,1,1,6
16530,Installed,41,Female,Setswana,Married,12050,2050,113,113,10000,31,1,Matric,Office Cleaner,Gauteng,0,0.009,0 - 1.5%,1,1,1,8
16531,Cancelled,53,Female,Sotho,Married,23000,8000,0,0,15000,15,16,Diploma,Nursing,Limpopo,0,0.009,0 - 1.5%,1,0,0,0
16532,Cancelled,38,Male,Sotho,Married,6700,6700,0,0,0,1,25,Matric,Stock Controller,Free State,0,0.029,2.5 - 5%,1,0,0,0
16533,Cancelled,54,Female,Afrikaans,Married,16000,7000,0,0,9000,30,1,Certificate,Admin Officer,Gauteng,0,0.021,1.5 - 2.5%,1,0,0,0
16534,Cancelled,24,Female,English,Single,6000,6000,0,0,0,26,26,Matric,Assistant Manager - Retail,Eastern Cape,0,0.051,5% +,1,1,0,1
16535,Installed,45,Male,English,Married,40000,30000,700,700,10000,31,7,Matric,Restaurant Manager - Self Employed,Gauteng,0,0.018,1.5 - 2.5%,1,1,1,8
16536,Cancelled,36,Female,Afrikaans,Married,7500,7500,0,0,0,25,25,Matric,Bookkeeper,Eastern Cape,0,0.033,2.5 - 5%,1,0,0,0
16537,Installed,48,Male,Afrikaans,Single,25000,25000,414,414,0,31,31,Matric,"Manager, Construction Contract - Building and Construct",Gauteng,0,0.017,1.5 - 2.5%,1,1,1,8
16538,Installed,47,Female,Xhosa,Divorced,24427,24427,181,120,0,15,15,Degree,Social Worker,Eastern Cape,0,0.005,0 - 1.5%,1,1,1,4
16539,Installed,41,Male,Xhosa,Single,6400,6400,145,145,0,15,15,Matric,Correctional Officer,Eastern Cape,0,0.037,2.5 - 5%,1,1,1,7
16540,Installed,30,Female,Sotho,Married,34000,11365,178,178,22635,31,31,Diploma,Account Clerk,Free State,0,0.005,0 - 1.5%,1,1,1,7
16541,Installed,43,Female,Setswana,Married,153000,108000,497,497,45000,26,26,Degree,Civil Engineer,Gauteng,0,0.003,0 - 1.5%,1,1,1,8
16542,Installed,39,Female,English,Married,45000,16800,504,504,28200,20,21,Matric,Bookkeeper,Gauteng,2169,0.011,0 - 1.5%,1,1,1,8
16543,Installed,49,Male,Xhosa,Divorced,1000,1000,159,159,0,31,31,No Matric,"IT Technician
Retailer",Western Cape,0,0.159,5% +,1,1,1,8
16544,Installed,50,Female,English,Married,17000,7000,534,534,10000,31,1,Matric,Office Receptionist,Gauteng,2092,0.031,2.5 - 5%,1,1,1,7
16545,Installed,63,Male,Afrikaans,Divorced,40000,40000,1274,1274,0,15,20,Matric,Project Manager- Construction Site,Gauteng,0,0.032,2.5 - 5%,1,1,1,8
16546,Cancelled,49,Male,Xhosa,Married,17500,15000,0,0,2500,30,30,Diploma,Car Salesman,Western Cape,0,0.025,1.5 - 2.5%,1,0,0,0
16547,Cancelled,44,Male,Tsonga,Married,10000,10000,0,0,0,5,6,Certificate,Paint Contractor,Gauteng,0,0.023,1.5 - 2.5%,1,0,0,0
16548,Cancelled,44,Female,English,Married,85000,30000,0,0,55000,31,5,Diploma,Financial Adviser - Otherwise,Gauteng,0,0.003,0 - 1.5%,1,0,0,0
16549,Installed,29,Female,Setswana,Married,29500,11500,256,256,18000,31,25,Matric,Cleaner,North West,0,0.009,0 - 1.5%,1,1,1,8
16550,Cancelled,41,Male,Venda,Divorced,3600,3600,0,0,0,27,1,Certificate,Civil Engineer,Gauteng,0,0.034,2.5 - 5%,1,0,0,0
16551,Installed,38,Female,Sotho,Married,50000,30000,125,125,20000,31,15,Degree,Admin Manager,Gauteng,0,0.003,0 - 1.5%,1,1,1,8
16552,Cancelled,45,Male,Afrikaans,Single,26000,26000,0,0,0,20,27,Certificate,Mine Boilermaker,Gauteng,0,0.012,0 - 1.5%,1,0,0,0
16553,Installed,28,Female,Xhosa,Single,13500,13500,152,152,0,25,1,Degree,Government Official,Free State,0,0.011,0 - 1.5%,1,1,1,7
16554,Cancelled,39,Male,Sepedi,Married,30000,15000,0,0,15000,7,7,Diploma,"Manager, Construction Contract - Building and Construct",Gauteng,0,0.016,1.5 - 2.5%,1,1,0,3
16555,Installed,45,Male,English,Married,86000,80000,857,658,6000,31,1,Matric,farmer - agriculture,KwaZulu-Natal,0,0.01,0 - 1.5%,1,1,1,8
16556,Installed,27,Male,Sotho,Single,7200,7200,137,137,0,28,28,Certificate,Sales Agent,Free State,1632,0.019,1.5 - 2.5%,1,1,1,7
16557,Installed,40,Male,Sotho,Single,38000,38000,358,176,0,20,20,Degree,IT Support,Gauteng,0,0.005,0 - 1.5%,1,1,1,5
16558,Installed,48,Male,Tsonga,Single,17000,17000,977,977,0,15,7,Certificate,Taxation Consultant,Mpumalanga,0,0.058,5% +,1,1,1,7
16559,Installed,50,Male,Xhosa,Married,7924,7924,258,258,0,31,30,Matric,SAPS - Sergeant,Eastern Cape,0,0.033,2.5 - 5%,1,1,1,7
16560,Cancelled,43,Female,Zulu,Single,28000,28000,0,0,0,15,15,Professional,Staff Nurse,KwaZulu-Natal,0,0.011,0 - 1.5%,1,0,0,0
16561,Installed,38,Male,English,Married,66000,50000,315,315,16000,1,28,Diploma,Retail Sales Manager,Gauteng,0,0.005,0 - 1.5%,1,1,1,9
16562,Installed,31,Female,Setswana,Single,10509,10509,126,126,0,25,25,Degree,Admin Assistant,Gauteng,0,0.012,0 - 1.5%,1,1,1,8
16563,Cancelled,28,Male,Zulu,Single,11000,11000,0,0,0,15,16,Matric,Forensics Officer,KwaZulu-Natal,0,0.023,1.5 - 2.5%,1,0,0,0
16564,Installed,50,Male,English,Married,30000,11700,599,599,18300,25,25,No Matric,Stock Control Supervisor,Eastern Cape,0,0.02,1.5 - 2.5%,1,1,1,8
16565,Cancelled,55,Male,Zulu,Single,69000,59000,0,0,10000,25,26,Postgraduate,General Manager,Gauteng,0,0.025,1.5 - 2.5%,1,0,0,0
16566,Installed,29,Female,Zulu,Single,8548,8548,144,144,0,1,31,Degree,Finance Officer,Gauteng,0,0.017,1.5 - 2.5%,1,1,1,8
16567,Cancelled,34,Male,Xhosa,Married,21000,8900,0,0,12100,27,27,Matric,Warehouse Worker,Eastern Cape,0,0.013,0 - 1.5%,1,1,0,1
16568,Cancelled,58,Female,Afrikaans,Divorced,5500,5500,0,0,0,26,30,Matric,Admin Secretary,North West,0,0.049,2.5 - 5%,1,0,0,0
16569,Cancelled,58,Male,Xhosa,Married,14000,9000,0,0,5000,26,26,Matric,Laboratory Assistant,Eastern Cape,0,0.045,2.5 - 5%,1,0,0,0
16570,Cancelled,45,Male,Afrikaans,Married,6500,4000,0,0,2500,25,1,No Matric,Driver - Bakery Delivery,Western Cape,0,0.077,5% +,1,1,0,2
16571,Installed,25,Male,Sotho,Single,10500,10500,189,189,0,25,25,Certificate,Fast Food Restaurant Assistant Manager - Incl. Servicing,Gauteng,1432,0.018,1.5 - 2.5%,1,1,1,8
16572,Installed,35,Male,0,0,50000,50000,500,500,0,31,1,Diploma,Internal Auditor,Western Cape,7550,0.01,0 - 1.5%,1,1,1,8
16573,Cancelled,49,Female,Zulu,Widowed,25000,25000,0,0,0,31,27,Certificate,Field Sales Rep,KwaZulu-Natal,0,0.013,0 - 1.5%,1,0,0,0
16574,Cancelled,42,Female,Afrikaans,Married,100000,50000,0,0,50000,5,5,Diploma,Business Manager,Free State,0,0.008,0 - 1.5%,1,0,0,0
16575,Cancelled,45,Male,Xhosa,Married,25000,25000,0,0,0,25,27,Matric,"Truck Driver - Heavy Duty, Local/Regional Only",Eastern Cape,0,0.026,2.5 - 5%,1,0,0,0
16576,Installed,31,Female,Xhosa,Single,10000,10000,346,346,0,1,15,Certificate,Hospital Nurse,Western Cape,0,0.035,2.5 - 5%,1,1,1,8
16577,Cancelled,53,Male,English,Married,15000,15000,0,0,0,25,31,No Matric,Plumber,Western Cape,0,0.024,1.5 - 2.5%,1,0,0,0
16578,Cancelled,49,Female,Sotho,Married,10700,9200,0,0,1500,25,1,No Matric,Hairdresser - Salon,Gauteng,1818,0.047,2.5 - 5%,1,0,0,0
16579,Cancelled,46,Male,Afrikaans,Married,50000,26300,0,0,23700,22,22,Certificate,Quality Control Engineer,Gauteng,0,0.006,0 - 1.5%,1,0,0,0
16580,Cancelled,41,Male,Zulu,Single,8000,4000,0,0,4000,3,4,No Matric,Unemployed,KwaZulu-Natal,0,0.026,2.5 - 5%,1,0,0,0
16581,Cancelled,39,Female,Zulu,Widowed,22000,22000,0,0,0,16,7,No Matric,Taxi Owner,Eastern Cape,0,0.018,1.5 - 2.5%,1,1,0,2
16582,Cancelled,52,Female,English,Divorced,30000,12000,0,0,18000,1,1,Matric,Health and Safety Manager/Officer,Gauteng,0,0.013,0 - 1.5%,1,0,0,0
16583,Installed,39,Male,English,Married,363000,363000,2234,2234,0,31,1,Degree,Medical Doctor,Gauteng,0,0.006,0 - 1.5%,1,1,1,8
16584,Cancelled,37,Female,Zulu,Single,4300,3700,0,0,600,25,25,Diploma,Dental Assistant,KwaZulu-Natal,4450,0.083,5% +,1,0,0,0
16585,Cancelled,53,Male,English,Divorced,10000,10000,0,0,0,25,25,Matric,Admin Clerk,Gauteng,1824,0.023,1.5 - 2.5%,1,1,0,3
16586,Cancelled,46,Male,Sepedi,Single,5500,5500,0,0,0,31,1,Matric,Machine Operator,Mpumalanga,0,0.047,2.5 - 5%,1,1,0,1
16587,Installed,27,Male,Venda,Married,16187,16187,174,174,0,31,31,Degree,Agricultural Scientist,Gauteng,0,0.011,0 - 1.5%,1,1,1,8
16588,Installed,52,Female,Sotho,Single,33000,33000,667,667,0,31,31,Degree,Nurse,Gauteng,0,0.02,1.5 - 2.5%,1,1,1,8
16589,Cancelled,35,Male,IsisNdebele,Married,39000,17000,0,0,22000,30,31,Certificate,Foreman/Supervisor,Gauteng,0,0.01,0 - 1.5%,1,1,0,6
16590,Cancelled,65,Male,Xhosa,Married,6700,3000,0,0,3700,3,3,Matric,Shop Cashier,Eastern Cape,0,0.039,2.5 - 5%,1,0,0,0
16591,Installed,33,Female,IsisNdebele,Single,34000,34000,387,387,0,15,15,Postgraduate,Occupational Therapist,Mpumalanga,0,0.011,0 - 1.5%,1,1,1,8
16592,Installed,38,Male,Afrikaans,Single,38500,38500,329,329,0,25,31,Degree,Project Manager,Gauteng,2194,0.009,0 - 1.5%,1,0,1,0
16593,Installed,34,Male,Xhosa,Single,35000,35000,573,573,0,25,25,Diploma,Operations Manager - Admin only,Gauteng,182,0.016,1.5 - 2.5%,1,1,1,8
16594,Cancelled,57,Male,Sepedi,Married,12988,8288,0,0,4700,30,30,Matric,Driver,Gauteng,0,0.02,1.5 - 2.5%,1,0,0,0
16595,Installed,43,Male,Xhosa,Married,22800,17000,200,200,5800,15,15,Degree,Correctional Officer,Eastern Cape,0,0.009,0 - 1.5%,1,1,1,8
16596,Installed,35,Male,Sepedi,Married,70000,33000,1012,1012,37000,15,25,Certificate,Boilermaker,Gauteng,0,0.015,0 - 1.5%,1,1,1,8
16597,Installed,51,Male,Sepedi,Married,6934,6934,379,379,0,31,31,No Matric,Heavy goods Driver,Mpumalanga,0,0.055,5% +,1,1,1,7
16598,Cancelled,30,Male,English,Single,35000,35000,0,0,0,25,27,Matric,Transport Controller,Gauteng,0,0.008,0 - 1.5%,1,0,0,0
16599,Installed,37,Female,Afrikaans,Single,5000,5000,161,161,0,25,25,Matric,Storeman - Tobacco Industry,North West,0,0.032,2.5 - 5%,1,1,1,8
16600,Cancelled,57,Male,Setswana,Married,16500,3200,0,0,13300,1,1,No Matric,Unemployed,North West,0,0.017,1.5 - 2.5%,1,1,0,1
16601,Installed,55,Male,Xhosa,Married,100000,65000,809,809,35000,15,1,Degree,Prosecutor,Eastern Cape,0,0.008,0 - 1.5%,1,1,1,8
16602,Cancelled,58,Female,Afrikaans,Married,141355,105355,0,0,36000,23,1,Diploma,Administration Manager,KwaZulu-Natal,0,0.016,1.5 - 2.5%,1,1,0,2
16603,Installed,31,Female,Setswana,Single,15832,15832,136,136,0,31,1,Matric,Visual Display Worker,Gauteng,1764,0.009,0 - 1.5%,1,1,1,8
16604,Installed,55,Male,Zulu,Married,97000,57000,670,670,40000,1,1,Degree,Community Development Worker,KwaZulu-Natal,0,0.007,0 - 1.5%,1,1,1,9
16605,Installed,38,Female,English,Married,3500,3500,122,122,0,25,26,Matric,Admin Clerk,KwaZulu-Natal,3236,0.035,2.5 - 5%,1,1,1,8
16606,Installed,44,Male,Sotho,Single,4761,4761,179,92,0,15,15,No Matric,Admin Clerk,Free State,0,0.019,1.5 - 2.5%,1,1,1,3
16607,Cancelled,39,Female,Xhosa,Married,24300,11900,0,0,12400,15,15,Matric,Admin Clerk,Eastern Cape,0,0.009,0 - 1.5%,1,0,0,0
16608,Installed,35,Female,Zulu,Married,20000,10500,168,168,9500,15,15,Certificate,Clerk of The Court,Western Cape,7945,0.008,0 - 1.5%,1,1,1,8
16609,Cancelled,27,Female,Setswana,Single,27744,9744,0,0,18000,31,30,Certificate,IT Support,Gauteng,0,0.005,0 - 1.5%,1,1,0,2
16610,Cancelled,56,Male,Sotho,Widowed,20000,20000,0,0,0,25,30,No Matric,Underground Worker,Mpumalanga,0,0.023,1.5 - 2.5%,1,1,0,2
16611,Cancelled,46,Female,Zulu,Single,30334,30334,0,0,0,20,12,Diploma,Ward Nurse,Gauteng,0,0.007,0 - 1.5%,1,0,0,0
16612,Installed,42,Male,Xhosa,Married,22000,22000,436,308,0,31,31,Diploma,Radio Producer,Eastern Cape,5700,0.014,0 - 1.5%,1,1,1,4
16613,Installed,48,Female,English,Married,100000,50000,914,914,50000,15,15,Matric,Managing Director - Admin Only,Gauteng,0,0.009,0 - 1.5%,1,1,1,9
16614,Installed,50,Male,Xhosa,Married,27000,19000,320,320,8000,15,15,Matric,Parole Officer,Eastern Cape,0,0.012,0 - 1.5%,1,1,1,8
16615,Cancelled,28,Male,Setswana,Single,10000,10000,0,0,0,15,15,Degree,Manager - Marketing,North West,2745,0.018,1.5 - 2.5%,1,1,0,3
16616,Installed,39,Male,English,Married,20000,20000,515,515,0,7,7,Matric,Production Staff/Manager/Superviser - Light Manual Work,Gauteng,2094,0.026,2.5 - 5%,1,1,1,8
16617,Installed,42,Female,Zulu,Single,4000,4000,197,133,0,1,1,Diploma,Supervisor - Other,KwaZulu-Natal,4001,0.033,2.5 - 5%,1,1,1,4
16618,Installed,32,Male,Sotho,Married,50000,28000,258,210,22000,15,15,Degree,Legal Advisor,Gauteng,0,0.004,0 - 1.5%,1,1,1,8
16619,Installed,44,Female,English,Married,11000,2200,198,198,8800,1,2,No Matric,Housewife,KwaZulu-Natal,0,0.018,1.5 - 2.5%,1,0,1,0
16620,Installed,29,Female,Zulu,Married,50000,23000,172,172,27000,31,1,Degree,Assistant Director,Gauteng,0,0.003,0 - 1.5%,1,1,1,8
16621,Installed,38,Female,Tsonga,Single,13000,13000,219,219,0,1,1,Certificate,Personal Assistant,Gauteng,0,0.017,1.5 - 2.5%,1,1,1,8
16622,Installed,41,Female,Setswana,Married,18000,18000,182,182,0,28,26,Degree,Salary Admin Clerk,North West,8587,0.01,0 - 1.5%,1,1,1,8
16623,Installed,30,Male,Zulu,Single,17000,17000,134,109,0,31,22,Degree,School Teacher,Mpumalanga,152,0.006,0 - 1.5%,1,1,1,3
16624,Installed,34,Male,Venda,Single,8000,8000,297,297,0,27,27,Matric,Electrical Goods Repairer,Limpopo,1391,0.037,2.5 - 5%,1,1,1,8
16625,Cancelled,54,Female,English,Single,30000,30000,0,0,0,1,1,Diploma,Personal Assistant to Director,Western Cape,7640,0.018,1.5 - 2.5%,1,1,0,1
16626,Installed,42,Female,Swati,Widowed,13000,13000,219,219,0,1,1,Matric,Retired,Mpumalanga,0,0.017,1.5 - 2.5%,1,1,1,8
16627,Cancelled,47,Male,Zulu,Married,27200,27200,0,0,0,25,25,Diploma,Quality Control Supervisor,KwaZulu-Natal,0,0.02,1.5 - 2.5%,1,0,0,0
16628,Installed,42,Male,Zulu,Married,16000,10000,190,190,6000,31,1,Matric,Bookkeeper,Gauteng,1804,0.012,0 - 1.5%,1,1,1,7
16629,Installed,30,Female,Afrikaans,Married,33000,20000,396,396,13000,31,1,Degree,Teacher,Free State,0,0.012,0 - 1.5%,1,1,1,9
16630,Installed,36,Female,Xhosa,Single,10000,10000,196,196,0,27,1,Matric,Train Conductor,Eastern Cape,9744,0.02,1.5 - 2.5%,1,1,1,7
16631,Installed,41,Male,Tsonga,Married,31000,25000,440,440,6000,27,27,Degree,Hotel Manager - Admin Only,Mpumalanga,0,0.014,0 - 1.5%,1,1,1,7
16632,Installed,56,Female,Setswana,Single,5000,5000,150,150,0,31,1,Postgraduate,Unemployed,Free State,0,0.03,2.5 - 5%,1,1,1,8
16633,Installed,40,Male,Sotho,Married,19000,10000,463,463,9000,15,16,Matric,Funeral Director/Undertaker,North West,0,0.024,1.5 - 2.5%,1,1,1,5
16634,Cancelled,46,Male,Afrikaans,Single,16000,13000,0,0,3000,25,27,Certificate,Legal Secretary,Eastern Cape,0,0.028,2.5 - 5%,1,0,0,0
16635,Cancelled,36,Female,Xhosa,Single,11000,11000,0,0,0,15,26,Degree,Attorney,Western Cape,0,0.016,1.5 - 2.5%,1,1,0,3
16636,Installed,40,Male,Zulu,Married,106000,106000,754,900,0,25,10,Degree,Company Director,Gauteng,0,0.007,0 - 1.5%,1,1,1,10
16637,Cancelled,48,Male,Zulu,Married,30000,15000,0,0,15000,15,15,Diploma,Construction Foreman,Mpumalanga,0,0.012,0 - 1.5%,1,0,0,0
16638,Cancelled,53,Female,Zulu,Single,16200,16200,0,0,0,25,27,Matric,Production Line Supervisor,Gauteng,1541,0.008,0 - 1.5%,1,0,0,0
16639,Installed,32,Male,Sepedi,Single,45000,45000,154,153,0,18,18,Diploma,General Practitioner,Limpopo,0,0.003,0 - 1.5%,1,1,1,4
16640,Cancelled,24,Male,Afrikaans,Single,28000,28000,0,0,0,31,1,Diploma,Quality Controller,Mpumalanga,0,0.017,1.5 - 2.5%,1,0,0,0
16641,Installed,27,Female,Sepedi,Single,18000,18000,102,102,0,1,1,Degree,Building Site Manager - Supervisory,Limpopo,0,0.006,0 - 1.5%,1,1,1,8
16642,Cancelled,30,Female,Venda,Single,33000,28000,0,0,5000,25,26,Degree,Sales Manager,Limpopo,0,0.013,0 - 1.5%,1,0,0,0
16643,Cancelled,32,Male,English,Married,40000,40000,0,0,0,25,1,Diploma,Project Manager- Construction Site,Gauteng,0,0.026,2.5 - 5%,1,1,0,3
16644,Cancelled,51,Female,Zulu,Single,6300,3800,0,0,2500,25,28,Matric,Office Cleaner,Gauteng,0,0.027,2.5 - 5%,1,0,0,0
16645,Installed,38,Female,Xhosa,Single,13000,13000,317,317,0,31,15,Degree,Admin Assistant,Eastern Cape,0,0.024,1.5 - 2.5%,1,1,1,8
16646,Installed,33,Female,English,Married,30000,7000,166,166,23000,1,1,Degree,Baker,Gauteng,0,0.006,0 - 1.5%,1,1,1,9
16647,Cancelled,43,Female,Setswana,Married,6600,1320,0,0,5280,27,28,Matric,Housewife,North West,0,0.021,1.5 - 2.5%,1,0,0,0
16648,Cancelled,60,Male,Sotho,Divorced,3466,3466,0,0,0,31,1,No Matric,"Truck Driver - Heavy Duty, Local/Regional Only",Gauteng,0,0.088,5% +,1,0,0,0
16649,Cancelled,28,Female,Zulu,Single,24000,24000,0,0,0,31,1,Diploma,Marketing Manager,KwaZulu-Natal,3610,0.013,0 - 1.5%,1,0,0,0
16650,Cancelled,63,Female,English,Married,35000,7000,0,0,28000,31,1,No Matric,Housewife,KwaZulu-Natal,0,0.01,0 - 1.5%,1,1,0,4
16651,Cancelled,45,Male,English,Married,25000,15000,0,0,10000,31,31,Matric,Transport Control Operator,KwaZulu-Natal,0,0.014,0 - 1.5%,1,1,0,2
16652,Cancelled,46,Female,English,Single,5700,5700,0,0,0,31,1,Certificate,Sewing Machinist - Textile & Clothing Industry,Mpumalanga,0,0.031,2.5 - 5%,1,0,0,0
16653,Cancelled,57,Male,Sotho,Married,13000,13000,0,0,0,31,31,No Matric,Panelbeater,Gauteng,0,0.011,0 - 1.5%,1,1,0,1
16654,Installed,41,Female,English,Widowed,8000,8000,766,766,0,31,1,Certificate,Retail Manager,KwaZulu-Natal,0,0.096,5% +,1,1,1,8
16655,Cancelled,50,Male,Setswana,Married,45000,30000,0,0,15000,25,25,Postgraduate,Training Manager,Gauteng,0,0.032,2.5 - 5%,1,1,0,3
16656,Installed,37,Female,Xhosa,Widowed,29000,29000,129,129,0,15,15,Certificate,Debt Collector - Office Based,KwaZulu-Natal,4001,0.004,0 - 1.5%,1,1,1,7
16657,Installed,50,Female,Afrikaans,Married,21000,21000,667,667,0,29,1,Diploma,Clinic Nurse,Free State,0,0.032,2.5 - 5%,1,1,1,8
16658,Cancelled,49,Male,Xhosa,Married,7500,5000,0,0,2500,25,31,Matric,Construction Foreman,Eastern Cape,5201,0.04,2.5 - 5%,1,1,0,1
16659,Installed,57,Male,Afrikaans,Married,20000,20000,461,461,0,31,1,Diploma,Installation Engineer,Gauteng,0,0.023,1.5 - 2.5%,1,1,1,7
16660,Installed,43,Female,Xhosa,Single,19500,18600,314,314,900,20,20,Degree,Middle School Teacher,KwaZulu-Natal,0,0.016,1.5 - 2.5%,1,1,1,8
16661,Cancelled,32,Male,Xhosa,Married,22000,11500,0,0,10500,15,15,Certificate,Admin Clerk,Western Cape,0,0.015,0 - 1.5%,1,0,0,0
16662,Installed,54,Male,Sepedi,Widowed,3500,3500,267,267,0,30,1,Diploma,Liaison Officer,Limpopo,1060,0.076,5% +,1,1,1,8
16663,Cancelled,43,Female,Afrikaans,Married,5700,1140,0,0,4560,31,31,No Matric,Unemployed,Northern Cape,0,0.022,1.5 - 2.5%,1,0,0,0
16664,Installed,38,Male,English,Married,67500,32000,645,675,35500,31,1,Diploma,Operations Officer,Gauteng,1545,0.01,0 - 1.5%,1,1,1,8
16665,Installed,55,Male,Setswana,Single,45000,45000,875,875,0,25,1,Degree,Project Manager- Construction Site,North West,0,0.019,1.5 - 2.5%,1,1,1,8
16666,Cancelled,65,Female,Setswana,Widowed,44000,44000,0,0,0,15,1,Degree,Human Resources Manager,Gauteng,0,0.025,2.5 - 5%,1,0,0,0
16667,Cancelled,50,Male,Swati,Single,4000,4000,0,0,0,30,31,No Matric,Security Guard,Gauteng,1431,0.039,2.5 - 5%,1,0,0,0
16668,Installed,40,Female,Xhosa,Single,35000,35000,409,409,0,31,1,Degree,Accountant Auditor,Gauteng,0,0.012,0 - 1.5%,1,1,1,8
16669,Installed,47,Female,Zulu,Single,22000,22000,354,354,0,15,15,Diploma,School Teacher,KwaZulu-Natal,0,0.016,1.5 - 2.5%,1,1,1,8
16670,Installed,51,Female,Afrikaans,Single,2500,1300,198,198,1200,26,1,No Matric,Elderly Care Assistant,Eastern Cape,6300,0.079,5% +,1,1,1,8
16671,Cancelled,48,Female,Tsonga,Married,3200,2200,0,0,1000,31,1,No Matric,Cleaner,North West,0,0.055,5% +,1,1,0,1
16672,Cancelled,34,Female,Sotho,Single,11500,11500,0,0,0,31,30,Matric,SAPS - Constable,Gauteng,0,0.026,2.5 - 5%,1,0,0,0
16673,Installed,41,Male,Afrikaans,Married,30800,30800,448,448,0,25,1,Matric,Farm Manager,Mpumalanga,2430,0.015,0 - 1.5%,1,1,1,9
16674,Installed,34,Male,Sotho,Married,11000,4500,162,162,6500,31,1,Matric,Paramedic,Gauteng,0,0.015,0 - 1.5%,1,1,1,8
16675,Cancelled,26,Male,Sepedi,Single,7000,7000,0,0,0,31,1,Matric,Health and Safety Officer - Construction,KwaZulu-Natal,0,0.071,5% +,1,0,0,0
16676,Cancelled,52,Male,Afrikaans,Married,17000,10000,0,0,7000,1,1,No Matric,Singer,Western Cape,7140,0.013,0 - 1.5%,1,0,0,0
16677,Installed,62,Male,Sotho,Widowed,6700,5200,228,228,1500,1,1,No Matric,Unemployed,Free State,0,0.034,2.5 - 5%,1,1,1,7
16678,Cancelled,48,Male,English,Single,3850,2500,0,0,1350,1,1,No Matric,"Manager, Construction Contract - Building and Construct",Gauteng,0,0.077,5% +,1,0,0,0
16679,Installed,56,Female,Venda,Married,44000,26000,241,241,18000,27,28,Diploma,Train Driver,Gauteng,0,0.006,0 - 1.5%,1,1,1,6
16680,Installed,40,Male,Zulu,Single,15000,15000,252,252,0,25,26,Matric,Buyer,KwaZulu-Natal,2001,0.017,1.5 - 2.5%,1,1,1,8
16681,Cancelled,57,Male,Sotho,Married,23000,23000,0,0,0,30,31,Matric,Mine Supervisor,Free State,0,0.043,2.5 - 5%,1,1,0,2
16682,Cancelled,33,Male,Sepedi,Married,28000,6800,0,0,21200,31,28,Matric,Administrator,Gauteng,0,0.009,0 - 1.5%,1,0,0,0
16683,Installed,28,Male,Xhosa,Single,42000,22000,211,211,20000,31,31,Matric,Registrar,Gauteng,168,0.005,0 - 1.5%,1,1,1,7
16684,Installed,32,Male,Setswana,Married,10000,10000,188,188,0,26,26,Matric,General Technician,Gauteng,0,0.019,1.5 - 2.5%,1,1,1,8
16685,Cancelled,35,Male,Setswana,Single,9800,9800,0,0,0,31,1,Matric,Library Assistant,North West,0,0.034,2.5 - 5%,1,0,0,0
16686,Installed,38,Male,Swati,Married,45850,35000,589,481,10850,1,1,Degree,Industrial Engineer,Gauteng,2091,0.011,0 - 1.5%,1,1,1,2
16687,Cancelled,49,Male,Xhosa,Married,18000,8000,0,0,10000,15,20,Matric,Water Meter Tester,Eastern Cape,0,0.017,1.5 - 2.5%,1,0,0,0
16688,Installed,44,Male,English,Single,70493,70493,991,991,0,15,15,Postgraduate,Senior Manager/Ess,Gauteng,0,0.014,0 - 1.5%,1,1,1,8
16689,Cancelled,24,Male,Afrikaans,Single,5000,5000,0,0,0,31,1,Matric,General Store Manager,Northern Cape,0,0.055,5% +,1,0,0,0
